Calculated Name	ID Prefix	SRP ID	Syriaca.org URI's	Existing VIAF matched & edited	Not found in Syriac VIAF	New Extended Viaf Record Created	VIAF Record Exists?	Extended VIAF URL	Is a work?	Anonymous?	Shares attribution with	Part of pseudonymous author	Extended VIAF ID	Entry Notes/Comments	Follow-up	Log	Disambiguation	Disambiguation URLs	For Post-Publication Review	Record Description	Questions about Comprehensive VIAF URL matching	Not found in Comprehensive VIAF	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	Name split needs checking	Name split checked	GEDSH en-Start Pg	GEDSH en-Raw	GEDSH en-Entry Num	GEDSH en-Full	GEDSH en-Given	GEDSH en-Family	GEDSH en-Titles	Not an author or work	No Barsoum entry	Double Checked that there is no corresponding entry in Barsoum	Date Needs Checking	GEDSH en-DOB	GEDSH en-DOB Standard	GEDSH en-DOB Not Before	GEDSH en-DOB Not After	GEDSH en-DOD	GEDSH en-DOD Standard	GEDSH en-DOD Not Before	GEDSH en-DOD Not After	GEDSH en-Floruit	GEDSH en-Floruit Standard	GEDSH en-Floruit Not Before	GEDSH en-Floruit Not After	GEDSH en-Reign	GEDSH en-Reign Begin	GEDSH en-Reign Begin Standard	GEDSH en-Reign Begin Not Before	GEDSH en-Reign Begin Not After	GEDSH en-Reign End	GEDSH en-Reign End Standard	GEDSH en-Reign End Not Before	GEDSH en-Reign End Not After	GEDSH en-Name Place	GEDSH en-Name Place URI	GEDSH en-Birth Place URI	GEDSH en-Death Place URI	GEDSH en-Other Place URI	Retroversion of Syriac name from GEDSH	GEDSH Entry Entered	Barsoum en-Entry Num	Barsoum en-Page Num	Barsoum en-Raw	Barsoum en-Full	Barsoum en-Given	Barsoum en-Family	Barsoum en-Titles	Barsoum ar-Page Num	Barsoum ar-Full	Barsoum ar-Given	Barsoum ar-Family	Barsoum ar-Titles	Barsoum Ar Entered	Barsoum ar-Notes	Barsoum Birthplace	Barsoum en-DOD	Barsoum en-DOD Standard	Barsoum en-DOD Not Before	Barsoum en-DOD Not After	Barsoum en-Floruit	Barsoum en-Floruit Standard	Barsoum en-Floruit Not Before	Barsoum en-Floruit Not After	Barsoum en-Century	Barsoum en Name Place	Barsoum en Name Place URI	Barsoum en Birthplace URI	Barsoum en Death Place URI	Barsoum en Other Place URI	Barsoum syr-Page Num	Barsoum syr-NV Full	Barsoum syr-NV Given	Barsoum syr-NV Family	Barsoum syr-NV Titles	Barsoum syr-V Full	Barsoum syr-V Given	Barsoum syr-V Family	Barsoum syr-V Titles	Necessary Corrections	Authorized syr-Source	Authorized syr-NV Full	Authorized syr-NV Given	Authorized syr-NV Family	Authorized syr-NV Titles	Authorized syr-Needs Review	Abdisho YdQ syr-NV Full	Abdisho YdQ syr-NV Given	Abdisho YdQ syr-NV Family	Abdisho YdQ syr-NV Titles	Abdisho YdQ syr-V Full	Abdisho YdQ syr-V Given	Abdisho YdQ syr-V Family	Abdisho YdQ syr-V Titles	Abdisho YdQ syr-Page Num	Abdisho BO syr-NV Full	Abdisho BO syr-NV Given	Abdisho BO syr-NV Family	Abdisho BO syr-NV Titles	Abdisho BO syr-V Full	Abdisho BO syr-V Given	Abdisho BO syr-V Family	Abdisho BO syr-V Titles	Abdisho BO syr-Page Num	Syriac Entered	GS en-Full	GS en-Given	GS en-Family	GS en-Titles	Other en-Full	Other en-Given	Other en-Family	Other en-Titles	Extended VIAF Updated	Extended VIAF needs correction	CBSC en-Full	CBSC en-Link	VIAF-Dates Raw	VIAF-DOB	VIAF-DOB Standard	VIAF-DOD	VIAF-DOD Standard	Display Date	Original Sort Order	Merge Row Number
Yaʿqub Burdʿoyo	SRP	69	http://syriaca.org/person/69	JW		JW	YES	http://viaf.org/hosted/syriac/36186					36186										http://viaf.org/viaf/69321860																									Yaʿqub Burdʿoyo	Yaʿqub	Burdʿoyo				in barsoum																													JW	64	300	Mar Jacob Baradaeus	Mar Jacob Baradaeus	Jacob	Baradaeus	Mar	260	مار يعقوب البرادعي	يعقوب	البرادعي	مار	JK	Not certain if "Baradaeus" is a surname or title (as in of Baradi). Kept it as Surname considering trend		578	0578													286	ܡܪܝ ܝܥܩܘܒ ܒܘܪܕܥܢܐ	ܝܥܩܘܒ	ܒܘܪܕܥܢܐ	ܡܪܝ	ܡܪܝ ܝܰܥܩܘܒ ܒܘܪܕܥܳܢܐ	ܝܰܥܩܘܒ	ܒܘܪܕܥܳܢܐ	ܡܪܝ		Other	ܝܥܩܘܒ ܒܘܪܕܥܢܐ	ܝܥܩܘܒ		ܒܘܪܕܥܢܐ																									Jacob Burdʿoyo	Jacob	Burdʿoyo				Jacob Baradaeus	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=Jacob Baradaeus&sT=keywords	500.00.00-578.00.00		0500		0578	578	68	42
Yaʿqub of Edessa	SRP	113	http://syriaca.org/person/113	JW		JW	YES	http://viaf.org/hosted/syriac/26024					26024				Not the same as Deacon Yaʿqub of Edessa (http://syriaca.org/person/28).	http://syriaca.org/person/28					http://viaf.org/viaf/50027842	http://worldcat.org/identities/lccn-n83-171509	http://worldcat.org/identities/np-jacob of edessa$677 710 or 708	http://viaf.org/viaf/71466781	http://viaf.org/viaf/173256905																					Yaʿqub of Edessa	Yaʿqub		of Edessa			in barsoum																													JW	109	334	Mar Jacob of Edessa	Mar Jacob of Edessa	Jacob		Mar, of Edessa	291	مار يعقوب الرهاوي	يعقوب		مار الرهاوي	JK			708	0708													317	ܡܪܝ ܝܥܩܘܒ ܕܐܘܪܗܝ	ܝܥܩܘܒ		ܡܪܝ ܕܐܘܪܗܝ	ܡܳܪܝ ܝܰܥܩܘܒ ܕܐܘܪܗܳܝ	ܝܰܥܩܘܒ		ܡܳܪܝ ܕܐܘܪܗܳܝ		Other	ܝܥܩܘܒ ܕܐܘܪܗܝ	ܝܥܩܘܒ		ܕܐܘܪܗܝ		ܝܥܩܘܒ ܐܘܪܗܝܐ	ܝܥܩܘܒ		ܐܘܪܗܝܐ	ܝܲܥܩܘܿܒ ܐܘܼܪܗܵܝܵܐ	ܝܲܥܩܘܿܒ		ܐܘܼܪܗܵܝܵܐ	80	ܝܥܩܘܒ ܐܘܪܗܝܐ	ܝܥܩܘܒ		ܐܘܪܗܝܐ					229	TAC					Jacob of Edessa	Jacob		of Edessa			Jacob of Edessa	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=Jacob of Edessa&sT=keywords	640.00.00-708.00.00		0640		0708	708	113	22
Yaʿqub of Nisibis	SRP	811	http://syriaca.org/person/811		NG		NO	http://viaf.org/viaf/73294780															http://viaf.org/viaf/241281846																				NG	TAC		583. Yaʿqub of Nisibis	583	Yaʿqub of Nisibis	Yaʿqub		of Nisibis		JW	Mentioned on p.230 - TAC						337/8		0337	0338			337	338																				St. Jacob, bishop of Nisibin	Jacob		St., bishop of Nisibin	196	مار يعقوب اسقف نصيبين	يعقوب		مار، اسقف نصيبين	TAC																		ܡܪܝ ܝܥܩܘܒ ܐܦܝܣܩܘܦܐ ܕܢܨܝܒܝܢ	ܝܥܩܘܒ		ܡܪܝ, ܐܦܝܣܩܘܦܐ ܕܢܨܝܒܝܢ	ܡܳܪܝ ܝܰܥܩܽܘܒ ܐܶܦܺܝܣܩܽܘܦܐ ܕܰܢܨܺܝܒܺܝܢ	ܝܰܥܩܽܘܒ		ܡܳܪܝ, ܐܶܦܺܝܣܩܽܘܦܐ ܕܰܢܨܺܝܒܺܝܢ 		Other	ܝܥܩܘܒ ܕܢܨܝܒܝܢ	ܝܥܩܘܒ		ܕܢܨܝܒܝܢ																									Jacob of Nisibis	Jacob		of Nisibis		Need to enter Arabic & Syriac - TAC 9/20/2012	Jacob of Nisibis	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=Jacob of Nisibis&sT=keywords						337/8	637	
Yaʿqub of Serugh	SRP	42	http://syriaca.org/person/42	DAM			YES	http://viaf.org/hosted/syriac/25724					25724										http://viaf.org/viaf/51661489	http://worldcat.org/identities/lccn-n81-55296	http://worldcat.org/identities/np-jacob$of sarug$449 521	http://worldcat.org/identities/np-jacobus$saint of serug$451 521	http://viaf.org/viaf/74895977																					Yaʿqub of Serugh	Yaʿqub		of Serugh			in barsoum		ca. 451	0451			521	0521																						JW	38	255	Mar Jacob of Sarug, the Malphono	Mar Jacob of Sarug, the Malphono	Jacob		Mar, of Sarug, the Malphono	219	مار يعقوب السروجي الملفان	يعقوب		مار  ، السروجي ، الملفان	JK			521	0521													246	ܡܪܝ ܝܥܩܘܒ ܕܣܪܘܓ ܡܠܦܢܐ	ܝܥܩܘܒ		ܕܣܪܘܓ	ܡܳܪܝ ܝܰܥܩܘܒ ܕܰܣܪܘܓ ܡܰܠܦܳܢܐ	ܝܰܥܩܘܒ		ܡܳܪܝ ܕܰܣܪܘܓ		Other	ܝܥܩܘܒ ܕܣܪܘܓ	ܝܥܩܘܒ		ܕܣܪܘܓ																									Jacob of Serugh	Jacob		of Serugh			Jacob of Sarug	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=Jacob of Sarug&sT=keywords	451.00.00-521.00.00		0451		0521	521	42	395
Yeshuʿ bar Khayrun	SRP	250	http://syriaca.org/person/250		JW	JW	YES	http://viaf.org/hosted/syriac/37903					37903																																			Yeshuʿ bar Khayrun	Yeshuʿ	bar Khayrun																																	JW	245	489	The Monk Yeshu‛ Bar Khayrun	The Monk Yeshu‛ Bar Khayrun	Yeshu‛	Bar Khayrun	the Monk	438	الراهب يشوع ابن خيرون	يشوع	ابن خيرون	الراهب	JK			1335	1335													470	ܕܝܪܝܐ ܝܫܘܥ ܒܪ ܟܝܪܘܢ	ܝܫܘܥ	ܒܪ ܟܝܪܘܢ	ܕܝܪܝܐ	ܕܰܝܪܳܝܳܐ ܝܶܫܘܥ ܒܰܪ ܟܰܝܪܘܢ	ܝܶܫܘܥ	ܒܰܪ ܟܰܝܪܘܢ	ܕܰܝܪܳܝܳܐ		Other	ܝܫܘܥ ܒܪ ܟܝܪܘܢ	ܝܫܘܥ	ܒܪ ܟܝܪܘܢ																										Joshua bar Khayrun	Joshua	bar Khayrun						00.00.00-1335.00.00				1335	1335	253	220
Yeshuʿ the stylite	SRP	40	http://syriaca.org/person/40	JW			YES	http://viaf.org/hosted/syriac/35761/					35761										http://viaf.org/viaf/79425254	http://worldcat.org/identities/lccn-n96-26164																								Yeshuʿ the Stylite	Yeshuʿ		the Stylite			in barsoum																													JW	37	254	The History Ascribed to the Priest Joshua the Stylite	The History Ascribed to the Priest Joshua the Stylite				218	التاريخ المنسوب الى القس يشوع العمودي	يشوع		القس ، العمودي	JK	المنسوب الى is not going in the database cause it has nothing to do with any name at all						515	0515									245	ܡܟܬܒܙܒܢ̈ܐ ܕܡܒܝܬܝ ܠܩܫܝܫܐ ܝܫܘܥ ܐܣܛܘܢܪܐ	ܝܫܘܥ		ܐܣܛܘܢܪܐ	ܡܰܟܬܰܒܙܒܢ̈ܐ ܕܰܡܒܰܝܬܰܝ ܠܩܰܫܝܫܳܐ ܝܶܫܘܥ ܐܶܣܛܘܢܳܪܳܐ	ܝܶܫܘܥ		ܐܶܣܛܘܢܳܪܳܐ		Other	ܝܫܘܥ ܐܣܛܘܢܪܐ	ܝܫܘܥ		ܐܣܛܘܢܪܐ																					Yeshuʿ the stylite	Yeshuʿ		the stylite	Joshua the stylite	Joshua		the stylite					400.00.00-599.00.00		0400		0599	515	41	389
Yoḥannan Azraq	SRP	819	http://syriaca.org/person/819		NG		NO															AV																					NG	TAC		594. Yoḥannan Azraq	594	Yoḥannan Azraq	Yoḥannan		Azraq		JW	TAC																																																																					Abdisho						ܝܘܚܢܢ ܐܙܪܩ	ܝܘܚܢܢ		ܐܙܪܩ	ܝܘܿܚܲܢܵܢ ܐܲܙܪܲܩ	ܝܘܿܚܲܢܵܢ		ܐܲܙܪܲܩ	77	ܝܘܚܢܢ ܐܙܪܩ	ܝܘܚܢܢ		ܐܙܪܩ					182	TAC					John Azraq	John		Azraq			John Azraq	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John Azraq&sT=keywords							645	
Yoḥannan bar Abgare	SRP	820	http://syriaca.org/person/820		NG		NO	http://viaf.org/viaf/79296286															http://viaf.org/viaf/289701556																							595. Yoḥannan bar Abgare	595	Yoḥannan bar Abgare	Yoḥannan	bar Abgare			JW	TAC																																																																					Abdisho						ܝܘܚܢܢ ܒܪ ܐܒܓܪ̈ܐ	ܝܘܚܢܢ	ܒܪ ܐܒܓܪ̈ܐ		ܝܘܿܚܲܢܵܢ ܒܲܪ ܐܲܒܓܵܪܹ̈ܐ	ܝܘܿܚܲܢܵܢ	ܒܲܪ ܐܲܒܓܵܪܹ̈ܐ		81	ܝܘܚܢܢ ܒܪ ܐܒܓܪ̈ܐ	ܝܘܚܢܢ	ܒܪ ܐܒܓܪ̈ܐ						232	TAC					John bar Abgare	John	bar Abgare				John V bar Abgare	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John V bar Abgare&sT=keywords							646	
Yoḥannan bar Penkaye	SRP	821	http://syriaca.org/person/821		NG		NO															AV																								596. Yoḥannan bar Penkaye	596	Yoḥannan bar Penkaye	Yoḥannan	bar Penkaye			JW	Mentioned on p.140 - TAC																																	John Bar Phankaye	John	Bar Phankaye		124	يوحنا ابن فنكائي	يوحنا	ابن فنكائي		TAC																		ܝܘܚܢܢ ܒܪ ܦܢܟܝ̈ܐ	ܝܘܚܢܢ	ܒܪ ܦܢܟܝ̈ܐ		ܝܘܽܚܰܢܳܢ ܒܰܪ ܦܶܢܟܳܝ̈ܐ	ܝܘܽܚܰܢܳܢ	ܒܰܪ ܦܶܢܟܳܝ̈ܐ			Abdisho						ܝܘܚܢܢ ܒܪ ܦܢܟܝ̈ܐ	ܝܘܚܢܢ	ܒܪ ܦܢܟܝ̈ܐ		ܝܘܿܚܲܢܵܢ ܒܪ ܦܸܢܟܵܝܹ̈ܐ	ܝܘܿܚܲܢܵܢ	ܒܪ ܦܸܢܟܵܝܹ̈ܐ		77	ܝܘܚܢܢ ܒܪ ܦܢܟܝ̈ܐ	ܝܘܚܢܢ	ܒܪ ܦܢܟܝ̈ܐ						189	TAC					John bar Penkaye	John	bar Penkaye			Need to enter Arabic & Syriac - TAC 9/20/2012	John bar Penkaye	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John bar Penkaye&sT=keywords							647	
Yoḥannan bar Sarapion	SRP	822	http://syriaca.org/person/822		NG		NO	http://viaf.org/viaf/79162937																																						597. Yoḥannan bar Sarapion	597	Yoḥannan bar Sarapion	Yoḥannan	bar Sarapion			JW	TAC																																																																																																		John bar Sarapion	John	bar Sarapion				Yuhanna ibn Sarabiyun	http://www.csc.org.il/db/browse.aspx?db=SB&sL=Y&sK=Yuhanna ibn Sarabiyun&sT=keywords							648	
Yoḥannan bar Zoʿbi	SRP	823	http://syriaca.org/person/823		NG		NO	http://viaf.org/viaf/258316527																																			NG	TAC		598. Yoḥannan bar Zoʿbi	598	Yoḥannan bar Zoʿbi	Yoḥannan	bar Zoʿbi			JW	Mentioned as "John of Zo`bi" on p.390, #159, and as "John Bar Zo`bi" on p.456 - TAC																																	John of Zuʿbi	John		of Zuʿbi	405	يوحنا ابن زعبي	يوحنا	ابن زعبي		TAC																		ܝܘܚܢܢ ܒܪ ܙܘܥܒܝ	ܝܘܚܢܢ	ܒܪ ܙܘܥܒܝ		ܝܘܚܰܢܢ ܒܰܪ ܙܘܥܒܝ	ܝܘܚܰܢܢ	ܒܰܪ ܙܘܥܒܝ			Barsoum						ܝܘܚܢܢ ܕܙܘܥܒܝ	ܝܘܚܢܢ		ܕܙܘܥܒܝ	ܝܘܿܚܲܢܵܢ ܕܙܘܿܥܒܝܼ	ܝܘܿܚܲܢܵܢ		ܕܙܘܿܥܒܝܼ	82	ܝܘܚܢܢ ܕܙܘܥܒܝ	ܝܘܚܢܢ		ܕܙܘܥܒܝ					307	TAC					John bar Zoʿbi	John	bar Zoʿbi			Need to enter Arabic & Syriac - TAC 9/20/2012	John bar Zobi	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John bar Zobi&sT=keywords							649	
Yoḥannan Iḥidaya	SRP	827	http://syriaca.org/person/827	NG			YES	http://viaf.org/hosted/syriac/34265					34265	 Comments: Is this the same as John of Lycopolis? If not, some of the VIAF records have this conflated. GEDSH says there is a different contemporary named Yohannan of Apamea, AKA Yohannan the Egyptian.					Is this person the same as John of Lycopolis (some of the viaf.org records list both)? Alternatively, is John of Lycopolis the contemporary GEDSH mentions, known as Yoḥannan of Apamea/Yoḥannan the Egyptian?				http://viaf.org/viaf/101044787	http://worldcat.org/identities/lccn-n84-179339	http://viaf.org/viaf/251012934	http://viaf.org/viaf/120148916	http://viaf.org/viaf/192501563	http://viaf.org/viaf/71750556																		602. Yoḥannan Iḥidaya	602	Yoḥannan Iḥidaya	Yoḥannan		Iḥidaya		JW	TAC																																																																					Abdisho					TAC - or import "Ihidaya" from Athqen?	ܝܘܚܢܢ ܐܦܡܝܐ	ܝܘܚܢܢ		ܐܦܡܝܐ	ܝܘܿܚܲܢܵܢ ܐܵܦܵܡܵܝܵܐ	ܝܘܿܚܲܢܵܢ		ܐܵܦܵܡܵܝܵܐ	68	ܝܘܚܢܢ ܐܦܡܝܐ	ܝܘܚܢܢ		ܐܦܡܝܐ					50	TAC					John Iḥidaya	John		Iḥidaya			John of Apamea	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John of Apamea&sT=keywords	400.00.00-500.00.00		0400		0500	0500	653	400
Yoḥannan of Beth Rabban	SRP	824	http://syriaca.org/person/824		NG		NO															AV																								599. Yoḥannan of Beth Rabban	599	Yoḥannan of Beth Rabban	Yoḥannan		of Beth Rabban		JW	TAC																																																																					Abdisho						ܝܘܚܢܢ ܕܒܝܬ ܪܒܢ	ܝܘܚܢܢ		ܕܒܝܬ ܪܒܢ	ܝܘܿܚܲܢܵܢ ܕܒܹܝܬ ܪܲܒܲܢ	ܝܘܿܚܲܢܵܢ		ܕܒܹܝܬ ܪܲܒܲܢ	70	ܝܘܚܢܢ ܕܒܝܬ ܪܒܢ	ܝܘܚܢܢ		ܕܒܝܬ ܪܒܢ					72	TAC					John of Beth Rabban	John		of Beth Rabban			John of Bet Rabban	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John of Bet Rabban&sT=keywords							650	
Yoḥannan of Dailam	SRP	825	http://syriaca.org/person/825		NG		NO															AV																								600. Yoḥannan of Dailam	600	Yoḥannan of Dailam	Yoḥannan		of Dailam		JW	TAC																																																																					Abdisho						ܝܘܚܢܢ ܕܝܠܘܡܝܐ	ܝܘܚܢܢ		ܕܝܠܘܡܝܐ	ܝܘܿܚܲܢܵܢ ܕܝܼܠܘܿܡܵܝܵܐ	ܝܘܿܚܲܢܵܢ		ܕܝܼܠܘܿܡܵܝܵܐ	77	ܝܘܚܢܢ ܕܝܠܘܡܝܐ	ܝܘܚܢܢ		ܕܝܠܘܡܝܐ					182	TAC					John of Dailam	John		of Dailam			John of Dailam	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John of Dailam&sT=keywords							651	
Yoḥannan of Dalyatha	SRP	826	http://syriaca.org/person/826	NG			YES	http://viaf.org/hosted/syriac/32609					32609										http://viaf.org/viaf/53264717	http://worldcat.org/identities/lccn-n88-616605	http://viaf.org/viaf/61956603	http://viaf.org/viaf/190490946	http://viaf.org/viaf/97934783	http://viaf.org/viaf/89127667	http://viaf.org/viaf/244947174																	601. Yoḥannan of Dalyatha	601	Yoḥannan of Dalyatha	Yoḥannan		of Dalyatha		JW	Mentioned on p.140 - TAC																																	John Dalyatha	John		Dalyatha	124	يوحنا الدلياثي	يوحنا		الدلياثي	TAC																		ܝܘܚܢܢ ܕܕܠܝ̈ܬܗ	ܝܘܚܢܢ		ܕܕܠܝ̈ܬܗ	ܝܘܽܚܰܢܢ ܕܕܰܠܝܳ̈ܬܶܗ	ܝܘܽܚܰܢܢ		ܕܕܰܠܝܳ̈ܬܶܗ		Abdisho						ܝܘܚܢܢ ܕܕܠܝܬ̈ܗ	ܝܘܚܢܢ		ܕܕܠܝܬ̈ܗ	ܝܘܿܚܲܢܵܢ ܕܕܵܠܝܵܬܹ̈ܗ	ܝܘܿܚܲܢܵܢ		ܕܕܵܠܝܵܬܹ̈ܗ	72	ܝܘܚܢܢ ܕܕܠܝܬ̈ܗ	ܝܘܚܢܢ		ܕܕܠܝܬ̈ܗ					103	TAC					John of Dalyatha	John		of Dalyatha		Need to enter Arabic & Syriac - TAC 9/20/2012	John of Dalyatha	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John of Dalyatha&sT=keywords	700.00.00-00.00.00		0700			0700	652	368
Yoḥannan of Mosul	SRP	828	http://syriaca.org/person/828		NG		NO	http://viaf.org/viaf/35026342																																						603. Yoḥannan of Mosul	603	Yoḥannan of Mosul	Yoḥannan		of Mosul		JW	TAC																																																																																																		John of Mosul	John		of Mosul			John of Mosul	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John of Mosul&sT=keywords							654	
Yoḥannan Sullaqa	SRP	829	http://syriaca.org/person/829		NG		NO	http://viaf.org/viaf/254678857																																			NG	TAC		604. Yoḥannan Sullaqa	604	Yoḥannan Sullaqa	Yoḥannan Sullaqa				JW	TAC																																																																																																								John Sulaqa	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John Sulaqa&sT=keywords							655	
Yuḥanon bar Maʿdani	SRP	236	http://syriaca.org/person/236		JW	JW	YES	http://viaf.org/hosted/syriac/37785					37785																																			Yuḥanon bar Maʿdani	Yuḥanon	bar Maʿdani																																	JW	233	460	Patriarch John Bar Ma‛dani	Patriarch John Bar Ma‛dani	John	Bar Ma‛dani	Patriarch	409	البطريرك يوحنا ابن المعدني	يوحنا	ابن المعدني	البطريرك	JK			1263	1263													440	ܦܛܪܝܪܟܐ ܝܘܚܢܢ ܒܪ ܡܥܕܢܝ	ܝܘܚܢܢ	ܒܪ ܡܥܕܢܝ	ܦܛܪܝܪܟܐ	ܦܰܛܪܝܰܪܟܐ ܝܘܚܰܢܢ ܒܰܪ ܡܰܥܕܰܢܝ	ܝܘܚܰܢܢ	ܒܰܪ ܡܰܥܕܰܢܝ	ܦܰܛܪܝܰܪܟܐ		Other	ܝܘܚܢܢ ܒܪ ܡܥܕܢܝ	ܝܘܚܢܢ		ܒܪ ܡܥܕܢܝ																									John bar Maʿdani	John	bar Maʿdani				John bar Madani	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John bar Madani&sT=keywords	00.00.00-1263.00.00				1263	1263	239	208
Yuḥanon Barbur	SRP	831	http://syriaca.org/person/831		NG		NO							GEDSH: Fl. late 6 C								AV																					NG	TAC		608. Yuḥanon Barbur	608	Yuḥanon Barbur	Yuḥanon		Barbur		JW	TAC										late 6th cent.																																																																																								John Barbur	John		Barbur			John Barbur	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John Barbur&sT=keywords						late 6th cent.	657	
Yuḥanon Maron	SRP	832	http://syriaca.org/person/832	NG			YES	http://viaf.org/hosted/syriac/32964					32964	 Comments: Merged http://viaf.org/hosted/syriac/32964 http://viaf.org/hosted/syriac/30722									http://viaf.org/viaf/48576222	http://worldcat.org/identities/lccn-n2001-89414	http://worldcat.org/identities/np-maron, joannes$patriarch of antioch$d 707	http://viaf.org/viaf/209295334	http://viaf.org/viaf/22177088	http://viaf.org/viaf/210860424															NG	TAC		612. Yuḥanon Maron	612	Yuḥanon Maron	Yuḥanon Maron				JW	A "John Marun" is mentioned on p.411 (under #3) - TAC						707	0707																										John Marun	John		Marun	363	يوحنا مارون	يوحنا		مارون	TAC																		ܝܘܚܢܢ ܡܐܪܘܢ	ܝܘܚܢܢ		ܡܐܪܘܢ	ܝܘܚܰܢܢ ܡܰܐܪܘܽܢ	ܝܘܚܰܢܢ		ܡܰܐܪܘܽܢ	"Yuḥanon of Maron" acc. to GEDSH Syriac - TAC	Barsoum					TAC - compare person/621 for spelling of "Maron"																													Need to enter Arabic & Syriac - TAC 9/20/2012	John Maron	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John Maron&sT=keywords	627.00.00-707.00.00		0627		0707	707	658	266
Yuḥanon Naqar	SRP	96	http://syriaca.org/person/96		JW	JW	YES	http://viaf.org/hosted/syriac/36717					36717	 Comments: The vocalization was missing, so I added it - JW		Discuss: English and Syriac vocalize Arabic divergently - TAC																																Yuḥanon Naqar	Yuḥanon		Naqar			in barsoum																														91	324	The Ascetic John of Naqar	The Ascetic John of Naqar	John		the Ascetic, of Naqar	282	يوحنا نقر الناسك	يوحنا		نقر الناسك	JK							6th-8th cent.		0500	0799							309	ܝܘܚܢܢ ܢܝܩܪ ܥܢܘܝܐ	ܝܘܚܢܢ		ܢܝܩܪ ܥܢܘܝܐ	ܝܘܚܰܢܢ ܢܺܝܩܰܪ ܥܶܢܘܳܝܐ	ܝܘܚܰܢܢ		ܢܺܝܩܰܪ ܥܶܢܘܳܝܐ	English and Syriac vocalize Arabic divergently - TAC	Other	ܝܘܚܢܢ ܢܝܩܪ	ܝܘܚܢܢ		ܢܝܩܪ																									John Naqar	John		Naqar			John Naqar	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John Naqar&sT=keywords						6th-8th cent.	95	77
Yuḥanon of Ephesus	SRP	74	http://syriaca.org/person/74	JW			YES	http://viaf.org/hosted/syriac/28819/					28819										http://viaf.org/viaf/34491098	http://worldcat.org/identities/lccn-n88-32118	http://worldcat.org/identities/np-john$bp of ephesus	http://worldcat.org/identities/np-joannes$bp of ephesus$6th cent	http://worldcat.org/identities/np-joannes$bishop of ephesus$ca 507 589																					Yuḥanon of Ephesus	Yuḥanon		of Ephesus			in barsoum																													JW	69	304	John of Ephesus	John of Ephesus	John		of Ephesus	264	يوحنا الافسسي	يوحنا		الافسسي	JK			587	0587													291	ܝܘܚܢܢ ܕܐܦܣܘܣ	ܝܘܚܢܢ		ܕܐܦܣܘܣ	ܝܘܚܰܢܢ ܕܶܐܦܣܘܣ	ܝܘܚܰܢܢ		ܕܶܐܦܣܘܣ		Barsoum																													John of Ephesus	John		of Ephesus			John of Ephesus	http://www.csc.org.il/db/browse.aspx?db=SB&sL=J&sK=John of Ephesus&sT=keywords	507.00.00-586.00.00		0507		0586	587	73	14
