	Syriaca ID	Syriaca match notes	Work?	Anon?	Group?	ID	CHK	Century	certainty	VIAF ID	URL1	URL2	URL3	URL4	Born	Died	Flourished	Denomination	Baumstark (p)	Macuch	Barsaum (#)	Abuna (p) 1st ed.	Pat Syr §	Duval (p)	BO (vol p)	Chabot (p)	Wright (p)	Brock (p) Rev. ed.	English	French	German Full	German Given	German Family	German Titles	Baumstark Questions/Notes	Latin	Locations	Affiliations	Offices	Known associates	Biographical Sources
Zenobius of Gzirta	853					223	x	4										S	66		11		24		I.168-9	32-33	38-39			Zenobius	Zenobios	Zenobios				Zenobius e Gazir	Edessa [PS]		Deacon of Edessa [PS]	Disciple of Ephrem	
Ammoni(o)s	855																		84-85												Ammoni(o)s	Ammoni(o)s									
Makarios	856																		85-86												Makarios	Makarios									
Hieronymus	857																		92-93												Hieronymus	Hieronymus									
Cyprian of Nisibis	862					375	x	8								767		E	213							106															
Theodore of Merw	863					214	x	6									6th [PS]	E	122				61			55				Theodore						Theodorus ep. in Merw			Metropolitan of Merv [C]	Disciple of Mar Aba I	
Elijah of Merw	865					63	x	7										E	208							102				Elias							Merv [C]		Bishop of Merv [C]		
Ephrem of Elam	867					383	x	8-9										E	218																						
Surin of Nisibis	870					209	x	7										E	196-197				84			59				Sourin						Surin	Nisibis [PS]	School of Nisibis [PS]	Teaching exegesis at the School of Nisibis [PS]		
Mika of Beth Garmai	871					366	x	7										E	207-208																						
Paul of Anbar	876					373	x	8										E	213																						
Barṣawma of Karka de Ladan	878					42	x	7									First half of 7th [PS]	E	196				83													Bar Sauma ep. Karkae de Laden			Bishop of Karka de Laden [PS]		
Abraham of Basra	879					351	x	10-11										E	240																						
Aphnimaran of Karka de Beth Selok	883					361	x	7										E	204																						
Ishoʿpanah of Beth Qatraye	884					367	x	7										E	208																						
Babai of Meʿarre	885					338	x	6-7										E	132-133																						
ʿAbdishoʿ of Balad	886					355	x	10										E	239-240																Baumstark uses Assemani's corrupt name; where does Baumstark get "Balad" from?						
ʿAbd Meshiha of Hirta	889					349	x	9-10										E	241							117-118															
John of Beth Garmai	892					358	x	7										E	203-204																						
Abraham of Beth Ḥale	893					371	x	7										E	211																						
Solomon of Hdatta	894					377	x	8										E	214																						
Abu Nuh	895					382	x	8-9										E	218																						
Kyriakos of Nisibis	899					357	x	7										E	196																						
Simeon Tabbahe	900					376	x	8										E	214																						
Mshihazka	901					164		6										E	134-135							56-57				Meschihazeka											NB Attribution improbable!
Atqen, Mar	902					365	x	7-8										E	206																						
Budh	905					46	x	6										E	124-125				63													Bud			Periodeutes [PS]		
Abraham bar Qardaḥe	907							6										E	127																						
Simeon Qurdlainaya	910					369	x	8										E	210																						
Bar Sahde	917					36	x	7-8	yes	74281421	http://viaf.org/viaf/74281421							E	135				79			105-106										Bar Shade	Karka d-Bet Slok [PS]				
Simeon Barqaya	918					339	x	6-7										E	135-136																						
Eliya bar Kanosh	927																	E	240																						
John bar Kaldun	928					129	x	10	yes	28985867	http://viaf.org/viaf/28985867					979 [C]		E	240							117				Jean bar Khaldoun										Jospeh Bousnaya the monk [C]	
Gabriel of Shabbukost	932					352	x	10-11 ?										E	240																						
Elijah III Abu Halim	933					67	x	12								12 Apr 1190 [B]		E [B]	288-289							128		62		Elias III Abou Halim							Maipherqat, Nisibis,		Bishop of Maipherqat, Metropolitan of Nisibis, Catholicos [B]		
Ramishoʿ bar Sabroy	938					399	x	8										W	245-246		100																				
Elijah of Antioch	945					45	x	8										W [PS]	269		115		137					51								Elias Episcopus				Leo (syncellus of the bishop of Ḥarran) [PS]	
Wafa the Aramaean	947					420		??										Pagan			1																				
Baba of Harran	949					332	x	?										Pagan	11												Bàb(h)ā	Bàb(h)ā									
Harmonios	950																		14												Harmonios	Harmonios									
Phillip, disciple of Bardaisan	951					333	x	3										S	14								30				Philippos	Philippos									
Audaios, ʿUda	952					222	x	4										S	15-16				22								ʿÛd(h)ā	ʿÛd(h)ā				Uda seu 'Udai	Edessa [PS]	The Audians (sect he formed) [PS]	Archdeacon in Edessa [PS]		
Pàlûṭ	953							2-3											21												 Pàlûṭ 	 Pàlûṭ 									
Andreas	954																		30												Andreas	Andreas									
David von Bàṣrā	955																		30												 David von Bàṣrā 	David		von Bàṣrā							
Gaddjahb von Bêt(h) Lapat	956																		30												 Gaddjahb von Bêt(h) Lapat 	 Gaddjahb 		 von Bêt(h) Lapat							
 Jôḥannàn von Maišàn 	957																		30												Jôḥannàn von Maišàn	 Jôḥannàn		 von Maišàn							
Bischof Eusebios von Samosata	958																		60												Bischof Eusebios von Samosata	Eusebios		Bischof, von Samosata							
Šemʿôn bar Apollôn	959																		61												Šemʿôn bar Apollôn	Šemʿôn	bar Apollôn								
 Barḥāṭar bar Ûd(h)ān 	960																		61												 Barḥāṭar bar Ûd(h)ān 	 Barḥāṭar 	bar Ûd(h)ān 								
Akakios von Aleppo	961																		61												Bischof Akakios von Aleppo	Akakios		Bischof, von Aleppo							
 Jaʿqôb(h) 	962																		66												Jaʿqôb(h)	 Jaʿqôb(h) 									
Ambrosios	963																		76												Ambrosios	Ambrosios									
Abraham	964																		66												Abraham	Abraham									
 Màrā von Aggel 	965																		66												Màrā von Aggel	Màrā		von Aggel							
Antonios	966																		84												Antonios	Antonios									
Maʿna of Shiraz	967					335	x	5										E	105-106								62-63				Maʿnā	Maʿnā			not person/24						
Baboi	968					31	x	5								484 [PS]		E	107				51								Katholikos Bàb(h)ôj	Bàb(h)ôj		Katholikos		Baboj	Seleucia-Ctesiphon [PS]		Catholicos of Seleucia-Ctesiphon [PS]		
Babai	969					28	x	6								502 or 503 [PS]		E	113				53								Katholikos Bàb(h)aj	Bàb(h)aj		Katholikos		Babaj	Seleucia-Ctesiphon [PS]	Synod of 497 [PS]	Secretary to military commander [PS]		
Gregory of Kashkar	970					337	x	6-7								608/9		E	128												Grîg(h)ôr von Kaškar	Grîg(h)ôr		von Kaškar							
Dadishoʿ of Mount Izla	971					53	x	6							529 [PS]	604 [PS]		E	130-131				73			56				Dadjesus	Dàd(h)îšôʿ	Dàd(h)îšôʿ				Dadisho' abbas in Monte Izla	Bet Daraye, Adiabene, Mt. Izla [PS]	Monastery on Mt. Izla [PS]	Abbot of Monastery on Mt. Izla [PS]		
Zinai, disciple of Stephanos	972																	E	131												Zînai	Zînai									
Elisha bar Sapnin	973					416	x	6-7										E	132												Elîšaʿ bar Sap(h)nîn	Elîšaʿ	bar Sap(h)nîn								
Baʿut	974					26	x	6-7										E	133-134				77								Bàʿût(h)	Bàʿût(h)				Ba'ut Monachus	Beth Nuhadra [PS]	Monastery of Beth Nuhadra [PS]	Founder of Monastery of Beth Nuhadra [PS]		
Ḥenanišoʿ	975					95	x	7										E	134				78							Henanjesus	Mönch Ḥĕnànîšôʿ	Ḥĕnànîšôʿ	Mönch			Henanisho' Monachus	Hirta, Bet Garmay [PS]	Monastery in Darad in Bēt Garmay [PS]	Founder of Monastery in Darad [PS]	Mundir ibn Nu‘mān, the king of the Arabs (relative) [PS]	
Barḥadbshabba of Ḥalwān	976					39	x	6-7									Early 7th	E	136				67			59		40		Barhadbeschabba	Bischof Barḥad(h)bĕšabbā von Ḥalwàn	Barḥad(h)bĕšabbā		Bischof, von Ḥalwàn		Barhadbeshabba Halwanensis	Halwan [B]	School of Nisibis [C]	Bishop [B]	Henana [C], Catholicos Gregory [B]	
John	977					340	x	5										W	147-148												Jôḥannàn	Jôḥannàn									
George	978					341	x	5-6										W	159												Georgios	Georgios									
Thomas of Mar Bassos	979					445	x	6										W	351												Thomas	Thomas									
Aaron of Alexandria	980					346	x	6-7										W	189												Priester Ahrôn	Ahrôn		Priester							
John (Iwannis) of Birta	981					347	x	7										W	191												Bischof Iwanîs von Bîrtā	Iwanîs		Bischof, von Bîrtā							
John the Persian	982					143	x	7								611 [C]		E	203							101-102				Jean le Persan	Jôḥannàn der Perser	Jôḥannàn		der Perser			Near Mossul [C]	Monastery of Mount Izla [C]	Abbot of Monastery of Mount Izla and Mar Kodawai , Founder of Monastery of Beit Hale [C]	Disciple of Beit Abe [C]	
Sergius of Beth Garmai	983					359	x	7										E	204												Sargîs	Sargîs									
Ishozkha	984					360	x	7										E	204												Îšôʿzĕk(h)ā	Îšôʿzĕk(h)ā									
Sabrisho Rostam	985					362	x	7										E	204-205												Sab(h)rîšôʿ Rôsṭàm	Sab(h)rîšôʿ Rôsṭàm									
Simeon the monk	986					198	x	7										E	205				87								Šemʿôn	Šemʿôn				Simeon Monachus				Rabban Yozadaq [PS]	
Solomon bar Garaph	987					363	x	7										E	205												Šĕlêmôn bar Gàràp(h)	Šĕlêmôn	bar Gàràp(h)								
David, Bishop of the Kartwaye	988					364	x	7										E	205-206												Dawîd, Bischof des Kurdenstammes der Kartûʾàjē	Dawîd		Bischof des Kurdenstammes der Kartûʾàjē							
Yazdpanah of Kashkar	989					368	x	7										E	208												Metropolit Jazdap(h)anàh von Kaškar	Jazdap(h)anàh		Metropolit, von Kaškar							
George of Elam	990							7										E	208-209												Metropolit Gîwargîs von Elam	Gîwargîs		Metropolit, von Elam							
George of Nisibis	991					86	x	7										E	209				95								Metropolit Gîwargîs von Nisibis	Gîwargîs		Metropolit, von Nisibis		Georgius (Giwargis) ep. Nisibis	Nisibis [PS]		Bishop [PS]		
Simeon the Persecuted	992					353	x	11-12										E	210												Šemʿon “der Verfolgte”	Šemʿon		“der Verfolgte”							
Sabrišoʿ of Nisibis	993					186	x	8								727/8 ??		E	212				102								Metropolit Sab(h)rîšôʿ von Nisibis	Sab(h)rîšôʿ		Metropolit, von Nisibis		Sabrisho' ep. Nisibis	Nisibis [PS]		Bishop of Nisibis [PS]		
Gabriel the Dancer	994					372	x	8										E	212												Gabriel Raqqôd(h)ā	Gabriel		Raqqôd(h)ā							
Babai of Gbilta	995					29	x	8										E	212-213				103			105				Babai de Gebilta	Bàb(h)ai aus Gĕb(h)îltā 	Bàb(h)ai		aus Gĕb(h)îltā	Baumstark identifies with the Babai described in BO III/1:177-81, but there Assemani applied description of one Babai by Thomas of Marga to another Babai described by Abdisho.  Not clear if Babai of Gbilta is the same as Abdisho's Babai the Persian (880).	Babaj e Gebilta in Tirhan	Ṭirhan [PS]		Bishop of Gbilta [PS]		
Pethion	996					378	x	8										E	214												Pet(h)jôn	Pet(h)jôn									
Gabriel	997					384	x	8-9										E	218												Gabriel	Gabriel									Produced new trans. of poems of Gregory Nazianzen
Gabriel Tawrta	998					78	x	7								317-18 [C]		E	222				91			102-103				Gabriel	Gabriel Taurĕt(h)ā	Gabriel		Taurĕt(h)ā		Gabriel Taureta	Shirzor, Nisibis, Mt. Izla [PS]; Edessa [C]	Monastery of Bēt ‘Abē [PS]; Great Monastery [C]	Monk, Abbot [PS]		
John of Apamea (2)	999					388	x	8										E	226												Jôḥannàn von Apameia	Jôḥannàn		von Apameia	Not the same as person/827						
Isaac ibn Ḥunain	1000					390	x	9-10								12.910/11		E	230												Isḥàq ibn Ḥunain	Isḥàq	ibn Ḥunain								
ʿAbd al-Masīḥ b. Nāʿima	1002																	W	230												ʿAbd al-Masîḥ ibn Nāʿima	ʿAbd al-Masîḥ	ibn Nāʿima								
Abū Bashr Mattā b. Yūnus	1003																	E	230												Abû Bašr Mattâ ibn Jûnas	Mattâ	ibn Jûnas	Abû Bašr							
Zechariah of Merw	1004					393	x	9										E	232												Zĕk(h)arjā	Zĕk(h)arjā									
Abū Yaḥyā	1005																	E	232												Abû Jaḥjâ		Abû Jaḥjâ		Baumstark says probably identical with preceding.						
Sabrishoʿ II	1006					394	x	9								10.11.835		E	233												Katholikos Sab(h)rîšôʿ II	Sab(h)rîšôʿ		Katholikos, II							
Abraham II	1007					395	x	9								16.9.850		E	233												Katholikos Abraham II	Abraham		Katholikos, II							
Theodosius	1008					396	x	9								6.11.858		E	233												Katholikos Theodosios	Theodosios		Katholikos					Catholicos		
ʿAbdishoʿ bar Shaʿarah	1009					356	x	10										E	238-239												ʿAb(h)dîšôʿ bar Šaʿʿārah	ʿAb(h)dîšôʿ	bar Šaʿʿārah								
ʿAbdishoʿ I bar Aqre	1010					354	x	10								2.6.986		E	239												Katholikos ʿAb(h)dîšôʿ I bar Aqrē	ʿAb(h)dîšôʿ	bar Aqrē	Katholikos, I	Baumstark identifies with Assemani's Abdisho I, but Assemani identifies with Abdisho b. Eqarbe on what basis?						
Elijah of Kashkar	1011					350	x	10										E	240												Bischof Elijā von Kaškar	Elijā		Bischof, von Kaškar	Assemani identifies with Eliya b. Kanosh; Baumstark says maybe.						
Aaron	1012					397	x	9-10										E	241												Ahrôn	Ahrôn									
Severus of Nisibis	1013					193	x	7-8										W [PS]	247				127								Bischof Severus von Nisibis	Severus		Bischof, von Nisibis		Severus ep. Nisibis			Bishop [PS]		
Athanasios of Nisibis	1014					25	x	7										W [PS]	259				135								Priester Athanasios von Nisibis	Athanasios		Priester, von Nisibis		Athanasius Nisibenus			Priest [PS]		
Ḥarit bar Sisan of Sanbat	1015					441	x	09-10 ?										Malk	271		135										Ḥàrit(h) bar Màr(j) Sîsân	Ḥàrit(h)	bar Màr(j) Sîsân								
Aitallaha	1016					433	x	07 ?										W	276												Ait(h)allàhā	Ait(h)allàhā									Glossator of Gregory Nazianzen
Daniel, Mar	1017					410	x	09 ?										W	283												Màr(j) Daniel	Daniel		Màr(j)							
Ishoʿ bar Abraham	1018					411	x	09 ?										W	283												Îšôʿ bar Abraham	Îšôʿ	bar Abraham								
Emmanuel of Beth Garmai	1019					280	x	11								1080		E	288												Bischof Emmanuel von Bêt(h) Garmai	Emmanuel		Bischof, von Bêt(h) Garmai							
Yaqqira Abu-l-ʿIzz	1020					281	x	12										E	289												Rabban Jaqqîrā Abû-l-ʿIzz	Jaqqîrā		Rabban, Abû-l-ʿIzz							
John bar ʿAbdun	1021					285	x	11										W	291												Patriarch Jôḥannàn bar ʿAb(h)dûn	Jôḥannàn	bar ʿAb(h)dûn	Patriarch							
Habbib of Edessa	1022					412	x	11 ?										W	292, 159												Ḥabbîb von Edessa	Ḥabbîb		von Edessa							
Ishoʿ the Wretch (Silub)	1023					479	x	12 ??										W	295		201										Îšôʿ Sîlûb(h)	Îšôʿ		Sîlûb(h)							
Yahballaha II bar Qayyoma	1024					295	x	12-13								31.1.1222		E	304												Katholikos Jahb(h)allàhā II. bar Qajjômā	Jahb(h)allàhā	bar Qajjômā	Katholikos, II.							
Masʿud ibn al-Qass	1025					163	x	13								1280 [C]		E	306							138				Masoud Ibn Al-Kass	Masʿûd ibn al-Qass	Masʿûd	ibn al-Qass		 			Caliph Mostasem [C]	Doctor [C]		
Sabrišoʿ V bar Mshihaya	1026					296	x	13								20.2.1256		E	306												Katholikos Sab(h)rîšôʿ V. bar Mĕšîḥàjā	Sab(h)rîšôʿ	bar Mĕšîḥàjā	Katholikos, V.							
Mari bar Mshihaya (Abu-l-Khair)	1027					297	x	12-13										E	306												Abû-l-Ḫair Màr(j) bar Mĕšîḥàjā	Màr(j)	bar Mĕšîḥàjā	Abû-l-Ḫair							
Denḥa I	1028					298	x	13								1281		E	307												Katholikos Dènḥā I.	Dènḥā		Katholikos, I.							
Daniel bar Ḥattab	1029					300	x	13										W	320	14											Daniel bar Ḥaṭṭāb(h)	Daniel	bar Ḥaṭṭāb(h)								
Kyriakos, Rabban	1030					302	x	13-14										E	322												Rabban Kyriakos	Kyriakos		Rabban							
Ḥalya Ṣaidaya	1031					303	x	14										E	322-323												Priester Ḥaljā	Ḥaljā		Priester							
Isaac, Rabban	1032					304	x	14										E	323												Rabban Isḥàq	Isḥàq		Rabban							
Brikishoʿ bar Eskape of Beth Qoqa	1033					306	x	14										E	323												Rabban Bĕrîk(h)îšôʿ bar Eškàp(h)ē, Abt von Bêt(h) Qôqā	Bĕrîk(h)îšôʿ	bar Eškàp(h)ē	Rabban, Abt von Bêt(h) Qôqā							
Ishoʿyahb bar Mqaddam	1034					309	x	15								1440		E	329-330	34		517									Îšôʿjahb(h) bar Mĕqaddam	Îšôʿjahb(h)	bar Mĕqaddam								
Ṣaliba bar David	1035					310	x	15-16									1509-1522	E	331-332	36		515-516									Priester Ṣĕlîb(h)ā	Ṣĕlîb(h)ā		Priester							
ʿAttaye bar ʿAbda	1036					311	x	16										E	332	37		518-519									ʿAṭṭājē bar ʿAb(h)dā	ʿAṭṭājē	bar ʿAb(h)dā								
Abraham of Beth Selokh	1037					312	x	16										E	332-333	37		516-517									Mönch Abraham von Bêt(h) Sĕlôk(h)	Abraham		Mönch, von Bêt(h) Sĕlôk(h)							
ʿAbdishoʿ bar John	1038					313	x	16								1570		Chald	333						I.536						ʿAb(h)dîšôʿ bar Jôḥannàn	ʿAb(h)dîšôʿ	bar Jôḥannàn		Baumstark identifies with ʿAbdishoʿ IV John of Gazarta				Patriarch		
Gabriel of Beth Selokh	1039					523	x	16-17							1580	1620		Chald	333	37-38		525-526									Gabriel	Gabriel									
Simeon of Amida	1040					314	x	16								1590		E	333-334	40		523									Metropolit Šemʿôn von Amida	Šemʿôn		Metropolit, von Amida	not person/261						
Shemsha of Beth Ṣaidaya	1041					315	x	15 ?										E	334	33-34		514-515									Šemšā, Priester des Dorfes Bêt(h) Ṣaidàjā	Šemšā		Priester des Dorfes Bêt(h) Ṣaidàjā							
Israel of Kashkar	1042					316	x	16										E	334	34-35											Bischof Israël von Kaškar	Israël		Bischof, von Kaškar							
Adam of ʿAqra	1043					317	x	16-17									1596	Chald	334	40		526									Adam von ʿAqrā	Adam		von ʿAqrā							
Gabriel of Beth Rabban	1044					318	x	16-17									1613/14	E	334	41		526									Mönch Gabriel von Bêt(h) Rabban	Gabriel		Mönch, von Bêt(h) Rabban	different from person/105						
Gabriel of Gazarta	1045					319	x	16-17										E	334	41											Metropolit Gabriel von Gàzartā	Gabriel		Metropolit, von Gàzartā							
Joseph of Gazarta	1046					320	x	17										E	334	41-42											Bischof Jàusep(h) von Gàzartā und T(h)ĕmànôn	Jàusep(h)		Bischof, von Gàzartā und T(h)ĕmànôn					Bishop		
Darwish bar Ḥanna of Gazarta	1047					321	x	17										E	334	42											Priester Darwîš bar Ḥannā	Darwîš	bar Ḥannā	Priester							
John of Beth Mar Aba	1048					322	x	17										E	334	42		538									Jôḥannàn aus der Familie Màr(j) Àb(h)ā	Jôḥannàn	aus der Familie Màr(j) Àb(h)ā								
ʿAbd el-Masih of Beth Selokh	1049					323	x	17										E	334	42		538									ʿAbd el-Masîḥ aus Bêt(h) Sĕlôk(h)	ʿAbd el-Masîḥ		aus Bêt(h) Sĕlôk(h)							
George of Alqosh	1050					324	x	17-18								ca 1700		E	335	49		529-530									Priester Gîwargîs	Gîwargîs		Priester							
Joseph bar Kyriakos of Alqosh	1051					325	x	17-18 ?										E	335	49		530									Priester Jàusep(h)	Jàusep(h)		Priester							
Yalda the Priest	1052					327	x	17-18									1699-1706	E	335	49											Priester Jaldā	Jaldā		Priester							
George of Tagrit	1053					83	x	?										Melk	336						I.467-68						Bischof Georgios von Tag(h)rît(h)	Georgios		Bischof, von Tag(h)rît(h)			Tagrit		Bishop of Tagrit		
John the Stylite	1054					329	x	?										Maron	342												Jôḥannàn Stylites	Jôḥannàn		Stylites	According to GEDSH 445, unclear whether = person/127						
Joseph al-ʿAquri	1055					330	x	17								1647		Maron	343	54		648			I.553						Patriarch Jûsuf al-ʿAqûrî	Jûsuf		Patriarch, al-ʿAqûrî					Patriarch		
Isaac ash-Shadrawi	1056					331	x	17								1663		Maron	343	54-56		648-649									Metropolit Isḥàq aš-Šadrāwî	Isḥàq		Metropolit, aš-Šadrāwî							
Isa of Beth Shaddad of the Jezira	1058					515	x	15								1495		Syr Orth		21	999																				See Dolabani, Syr trans of Barsoum, no. 279
Nur ad-Din of Mardin	1059					516	x	15								1500		Syr Orth		21	999																				See Dolabani, Syr trans of Barsoum, no. 281
Abd al-Aziz bar Sallaki	1060					517	x	16										Syr Orth		22-23	999																				See Dolabani, Syr trans of Barsoum, no. 289
John bar Maswai	1061					130	?	9								857 [C]										112				Jean bar Maswai							Nineveh, Bagdad [C]		Head of School [C]	Isho bar Nun (Teacher), Honein (Disciple) [C]	
Symmachus	1062					210	x	5-6	uncertain									W										35													Life of Abel
John bar Butahi	1063					493	x	14 ?										SyrOrth			266																		Bishop		
Cyril Rizq	1064					504	x	18										SyrOrth			280																				
Basilios Isaac Jobeyr	1065					520	x	17-18							1643	1721		SyrCath		28		587-588						71											Maphrian of Mosul		
Athanasios Safar ʿAttar	1066					521	x	17-18							1638	1728		SyrCath		29-30		588-590																			
Ignatios III Michael Jarwah	1067					522	x	18							1731	1800		SyrCath		30-31		591-593																			
Khidr of Mosul	1068					524	x	17-18							1679	1751		Chald		44-47		533-537																			
Joseph Abraham of Rawanduz	1069					525	x	18-19							1750	1832		Chald		47-48		539-540																			
Habash bar Jamʿa	1070					526	x	18										E		50																					
Moses al-ʿAkkari	1071					527	x	16								1567		Maron		51		642-643																			
Peter al-Matushi	1072					528	x	16-17							1569	1625		Maron		51																					
Sergius al-Rizzi	1073					529	x	16-17							1572	1638		Maron		52-53																					
Peter Mahluf	1074					531	x	17-18								1707		Maron		58		653-654																			
Abd al-Masih Liban	1075					532	x	17-18								1742		Maron		60																					
John of Mawana	1076					534	x	17									1658/59	E ?		100																					
Thomas Tektek Sinjari of Telkepe	1077					535	x	18-19 ?										E ?		101-102																					
Hnanisho of Rustaqa	1078					536	x	18-19 ?										E ?		102																					
Stephen Rayes	1079					537	x	18-19 ?										E ?		102																					
David Kura of Nuhadra	1080					538	x	19										Chald		104-106																					
David Bareznaya of Kani Palan	1081					539	x	19										Chald		105																					
Bar Daqnana	1088					305	x	14										E	323												Bischof Daqnànā	Daqnànā		Bischof							
Joannes von Lykopolis	1089																		84/ 88-90												Joannes von Lykopolis	Joannes		von Lykopolis							
Gabriel Afram	1090																											72													
